"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"X23"	"X24"	"X25"	"X26"	"X27"	"X28"	"X29"	"X30"	"X31"	"X32"	"X33"	"X34"	"X35"	"X36"	"X37"	"X38"	"X39"	"X40"	"X41"	"X42"	"X43"	"X44"	"X45"	"X46"	"X47"	"X48"	"X49"	"X50"	"X51"	"X52"	"X53"	"X54"	"X55"	"X56"	"X57"	"X58"	"X59"	"X60"	"X61"	"X62"	"X63"	"X64"	"X65"	"X66"	"X67"	"X68"	"X69"	"X70"	"X71"	"X72"	"X73"	"X74"	"X75"	"X76"	"X77"	"X78"	"X79"	"X80"	"X81"	"X82"	"X83"	"X84"	"X85"	"X86"	"X87"	"X88"	"X89"	"X90"	"X91"	"X92"	"X93"	"X94"	"X95"	"X96"	"X97"	"X98"	"X99"	"X100"	"X101"	"X102"	"X103"	"X104"	"X105"	"X106"	"X107"	"X108"	"X109"	"X110"	"X111"	"X112"	"X113"	"X114"	"X115"	"X116"	"X117"	"X118"	"X119"	"X120"	"X121"	"X122"	"X123"	"X124"	"X125"	"X126"	"X127"	"X128"	"X129"	"X130"	"X131"	"X132"	"X133"	"X134"	"X135"	"X136"	"X137"	"X138"	"X139"	"X140"	"X141"	"X142"	"X143"	"X144"	"LMP"
"013S0019"	0.55	0.58	0.59	0.6	0.6	0.62	0.64	0.66	0.67	0.68	0.69	0.67	0.66	0.65	0.67	0.7	0.7	0.69	0.68	0.68	0.68	0.68	0.67	0.66	0.63	0.59	0.55	0.57	0.59	0.58	0.58	0.58	0.57	0.57	0.57	0.57	0.56	0.56	0.56	0.55	0.54	0.54	0.54	0.52	0.53	0.55	0.54	0.54	0.55	0.55	0.54	0.55	0.56	0.56	0.55	0.56	0.58	0.57	0.56	0.56	0.57	0.59	0.58	0.58	0.58	0.59	0.59	0.59	0.58	0.6	0.61	0.62	0.61	0.61	0.63	0.62	0.62	0.63	0.63	0.64	0.65	0.65	0.66	0.67	0.67	0.66	0.65	0.65	0.64	0.62	0.6	0.58	0.58	0.6	0.61	0.61	0.61	0.63	0.63	0.65	0.69	0.72	0.74	0.74	0.73	0.73	0.74	0.73	0.73	0.72	0.74	0.76	0.77	0.78	0.78	0.79	0.77	0.76	0.75	0.76	0.78	0.79	0.79	0.79	0.8	0.81	0.82	0.82	0.83	0.83	0.83	0.8	0.77	0.72	0.63	0.48	0.37	62.99
"013S0020"	0.55	0.55	0.55	0.58	0.62	0.65	0.66	0.67	0.68	0.68	0.67	0.67	0.68	0.7	0.69	0.69	0.69	0.67	0.68	0.67	0.66	0.64	0.62	0.59	0.57	0.56	0.58	0.61	0.57	0.57	0.59	0.6	0.59	0.57	0.57	0.56	0.55	0.54	0.55	0.53	0.52	0.52	0.53	0.52	0.52	0.53	0.53	0.53	0.53	0.54	0.54	0.53	0.54	0.54	0.53	0.52	0.53	0.54	0.55	0.54	0.54	0.56	0.58	0.57	0.56	0.57	0.59	0.59	0.58	0.58	0.59	0.61	0.63	0.61	0.6	0.61	0.63	0.64	0.61	0.62	0.64	0.65	0.65	0.64	0.64	0.64	0.65	0.64	0.63	0.61	0.59	0.57	0.56	0.56	0.57	0.57	0.59	0.6	0.61	0.61	0.64	0.69	0.71	0.71	0.71	0.71	0.7	0.68	0.68	0.68	0.71	0.74	0.76	0.75	0.76	0.77	0.78	0.76	0.75	0.76	0.76	0.77	0.78	0.78	0.77	0.76	0.75	0.75	0.76	0.76	0.75	0.74	0.73	0.71	0.68	0.64	0.6	61.05
"013S0021"	0.47	0.49	0.51	0.53	0.53	0.53	0.55	0.56	0.57	0.6	0.61	0.61	0.62	0.62	0.6	0.6	0.59	0.57	0.55	0.55	0.53	0.49	0.48	0.47	0.44	0.45	0.46	0.43	0.44	0.46	0.43	0.43	0.47	0.46	0.43	0.44	0.47	0.42	0.41	0.43	0.44	0.42	0.41	0.43	0.43	0.41	0.41	0.43	0.42	0.4	0.41	0.42	0.43	0.43	0.44	0.44	0.43	0.44	0.45	0.45	0.44	0.44	0.46	0.47	0.44	0.45	0.48	0.49	0.48	0.47	0.49	0.5	0.49	0.48	0.48	0.49	0.49	0.49	0.5	0.51	0.51	0.51	0.5	0.51	0.52	0.53	0.53	0.53	0.53	0.54	0.53	0.5	0.47	0.48	0.48	0.49	0.5	0.52	0.54	0.55	0.56	0.56	0.57	0.61	0.64	0.65	0.66	0.65	0.62	0.61	0.61	0.64	0.67	0.69	0.7	0.72	0.73	0.73	0.72	0.7	0.72	0.71	0.71	0.7	0.68	0.66	0.64	0.62	0.61	0.6	0.58	0.56	0.57	0.59	0.59	0.58	0.58	49.88
"013S0022"	0.64	0.64	0.63	0.61	0.6	0.61	0.63	0.66	0.68	0.67	0.67	0.66	0.64	0.63	0.65	0.67	0.68	0.7	0.7	0.68	0.65	0.62	0.61	0.61	0.6	0.56	0.56	0.58	0.58	0.57	0.6	0.6	0.59	0.57	0.56	0.56	0.57	0.57	0.56	0.55	0.55	0.56	0.55	0.55	0.56	0.57	0.56	0.57	0.57	0.57	0.56	0.57	0.57	0.58	0.58	0.57	0.56	0.57	0.58	0.58	0.58	0.58	0.59	0.6	0.6	0.59	0.61	0.62	0.62	0.62	0.63	0.64	0.64	0.63	0.63	0.63	0.64	0.65	0.66	0.66	0.66	0.68	0.67	0.67	0.66	0.66	0.65	0.63	0.59	0.59	0.59	0.58	0.58	0.59	0.6	0.61	0.62	0.64	0.67	0.71	0.73	0.74	0.75	0.75	0.75	0.74	0.72	0.71	0.74	0.75	0.76	0.76	0.76	0.75	0.75	0.74	0.73	0.73	0.75	0.76	0.76	0.77	0.77	0.77	0.77	0.77	0.77	0.77	0.75	0.71	0.66	0.62	0.57	0.54	0.55	0.55	0.5	60.06
"013S0023"	0.51	0.55	0.55	0.58	0.57	0.57	0.58	0.59	0.62	0.64	0.66	0.68	0.68	0.68	0.67	0.65	0.63	0.62	0.61	0.59	0.57	0.56	0.53	0.48	0.48	0.48	0.47	0.47	0.49	0.49	0.46	0.46	0.46	0.45	0.46	0.47	0.45	0.44	0.44	0.44	0.42	0.41	0.43	0.43	0.42	0.42	0.42	0.42	0.42	0.43	0.41	0.42	0.43	0.42	0.42	0.43	0.44	0.43	0.43	0.45	0.46	0.44	0.45	0.46	0.46	0.46	0.45	0.47	0.48	0.47	0.46	0.48	0.49	0.49	0.49	0.49	0.5	0.5	0.49	0.49	0.5	0.52	0.52	0.52	0.51	0.52	0.53	0.53	0.52	0.52	0.5	0.47	0.45	0.48	0.49	0.5	0.5	0.51	0.51	0.52	0.52	0.52	0.54	0.57	0.57	0.6	0.62	0.62	0.62	0.63	0.65	0.67	0.7	0.71	0.73	0.74	0.74	0.74	0.74	0.74	0.74	0.74	0.73	0.73	0.73	0.72	0.72	0.71	0.7	0.69	0.7	0.7	0.68	0.67	0.64	0.6	0.58	54.95
"013S0024"	0.49	0.52	0.53	0.53	0.53	0.54	0.56	0.58	0.6	0.62	0.64	0.64	0.64	0.63	0.61	0.59	0.57	0.55	0.53	0.5	0.47	0.43	0.42	0.41	0.41	0.41	0.41	0.43	0.42	0.41	0.43	0.43	0.42	0.42	0.41	0.39	0.4	0.39	0.37	0.36	0.36	0.36	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.35	0.35	0.35	0.35	0.36	0.35	0.36	0.36	0.36	0.36	0.36	0.36	0.37	0.37	0.37	0.39	0.39	0.38	0.38	0.39	0.4	0.4	0.39	0.39	0.41	0.42	0.41	0.41	0.42	0.42	0.41	0.42	0.43	0.43	0.42	0.43	0.44	0.45	0.44	0.42	0.41	0.39	0.38	0.39	0.4	0.42	0.44	0.45	0.47	0.48	0.48	0.49	0.5	0.51	0.52	0.53	0.54	0.54	0.54	0.54	0.56	0.6	0.63	0.66	0.68	0.7	0.71	0.71	0.7	0.7	0.69	0.69	0.69	0.68	0.68	0.67	0.66	0.64	0.62	0.61	0.59	0.57	0.54	0.51	0.47	0.44	0.43	49.55
"013S0025"	0.53	0.58	0.6	0.61	0.62	0.62	0.62	0.63	0.65	0.67	0.68	0.7	0.71	0.71	0.71	0.69	0.67	0.66	0.65	0.64	0.62	0.61	0.59	0.54	0.53	0.51	0.5	0.51	0.53	0.51	0.52	0.51	0.5	0.5	0.52	0.51	0.49	0.5	0.49	0.47	0.47	0.47	0.47	0.46	0.47	0.48	0.47	0.46	0.46	0.46	0.46	0.46	0.47	0.46	0.45	0.47	0.47	0.46	0.46	0.48	0.48	0.47	0.47	0.48	0.49	0.5	0.49	0.5	0.51	0.51	0.51	0.5	0.5	0.51	0.51	0.5	0.51	0.51	0.52	0.52	0.53	0.53	0.53	0.53	0.53	0.53	0.54	0.54	0.53	0.52	0.51	0.49	0.48	0.51	0.52	0.53	0.54	0.54	0.55	0.56	0.56	0.59	0.61	0.62	0.63	0.65	0.67	0.67	0.66	0.67	0.69	0.72	0.73	0.74	0.75	0.76	0.75	0.76	0.76	0.75	0.75	0.75	0.75	0.75	0.74	0.73	0.72	0.71	0.7	0.68	0.67	0.66	0.65	0.64	0.62	0.61	0.61	57.29
"013S0026"	0.46	0.48	0.51	0.52	0.51	0.52	0.54	0.55	0.56	0.58	0.61	0.61	0.61	0.6	0.58	0.56	0.56	0.54	0.51	0.47	0.43	0.41	0.39	0.39	0.38	0.37	0.4	0.41	0.37	0.4	0.39	0.37	0.39	0.39	0.36	0.35	0.38	0.38	0.34	0.35	0.37	0.36	0.33	0.35	0.37	0.34	0.34	0.34	0.33	0.32	0.33	0.34	0.34	0.34	0.33	0.34	0.35	0.35	0.35	0.35	0.36	0.36	0.37	0.37	0.39	0.39	0.39	0.4	0.4	0.41	0.41	0.41	0.41	0.41	0.42	0.43	0.43	0.43	0.44	0.44	0.44	0.44	0.44	0.44	0.43	0.44	0.44	0.44	0.44	0.42	0.41	0.38	0.36	0.38	0.4	0.42	0.44	0.47	0.48	0.48	0.49	0.47	0.49	0.5	0.52	0.54	0.55	0.55	0.54	0.54	0.57	0.6	0.64	0.65	0.66	0.67	0.69	0.72	0.73	0.72	0.7	0.69	0.68	0.66	0.64	0.62	0.59	0.58	0.57	0.56	0.55	0.56	0.56	0.57	0.59	0.58	0.57	46.37
"013S0027"	0.52	0.57	0.58	0.6	0.59	0.58	0.6	0.64	0.68	0.69	0.7	0.72	0.72	0.71	0.69	0.68	0.67	0.67	0.66	0.64	0.6	0.57	0.54	0.53	0.53	0.53	0.51	0.48	0.52	0.52	0.48	0.5	0.52	0.49	0.5	0.51	0.48	0.46	0.47	0.48	0.45	0.44	0.47	0.47	0.43	0.44	0.46	0.45	0.44	0.44	0.44	0.45	0.45	0.45	0.45	0.46	0.46	0.46	0.47	0.48	0.49	0.47	0.46	0.49	0.49	0.49	0.48	0.49	0.49	0.49	0.48	0.47	0.48	0.48	0.5	0.5	0.51	0.5	0.5	0.5	0.51	0.51	0.52	0.52	0.53	0.53	0.54	0.54	0.53	0.52	0.51	0.48	0.47	0.49	0.5	0.51	0.52	0.52	0.53	0.54	0.56	0.59	0.61	0.62	0.65	0.66	0.67	0.67	0.66	0.67	0.71	0.73	0.74	0.74	0.75	0.74	0.74	0.73	0.73	0.73	0.74	0.73	0.72	0.71	0.7	0.69	0.71	0.7	0.68	0.67	0.65	0.62	0.59	0.56	0.54	0.55	0.57	56.52
"013S0028"	0.55	0.59	0.59	0.59	0.58	0.58	0.6	0.64	0.65	0.66	0.66	0.67	0.67	0.64	0.66	0.66	0.65	0.64	0.62	0.6	0.57	0.55	0.55	0.55	0.53	0.54	0.53	0.5	0.48	0.53	0.5	0.49	0.5	0.51	0.49	0.48	0.48	0.48	0.46	0.48	0.48	0.47	0.48	0.49	0.46	0.47	0.48	0.48	0.47	0.47	0.48	0.47	0.47	0.48	0.49	0.48	0.5	0.53	0.53	0.51	0.52	0.53	0.53	0.52	0.53	0.53	0.53	0.51	0.53	0.54	0.53	0.52	0.52	0.53	0.54	0.53	0.54	0.56	0.56	0.55	0.55	0.55	0.56	0.56	0.56	0.57	0.57	0.57	0.55	0.55	0.54	0.52	0.49	0.51	0.51	0.51	0.53	0.55	0.55	0.57	0.58	0.58	0.58	0.6	0.62	0.64	0.64	0.63	0.62	0.62	0.63	0.66	0.7	0.72	0.74	0.75	0.75	0.76	0.77	0.79	0.78	0.77	0.75	0.73	0.72	0.69	0.66	0.64	0.64	0.63	0.62	0.61	0.62	0.63	0.64	0.65	0.64	55.32
"013S0029"	0.39	0.45	0.48	0.53	0.56	0.58	0.57	0.57	0.58	0.59	0.59	0.6	0.63	0.64	0.64	0.63	0.61	0.59	0.58	0.56	0.54	0.52	0.5	0.46	0.43	0.42	0.41	0.41	0.44	0.41	0.42	0.43	0.41	0.41	0.43	0.42	0.39	0.41	0.41	0.38	0.38	0.4	0.4	0.36	0.38	0.4	0.37	0.37	0.39	0.39	0.37	0.37	0.39	0.38	0.38	0.37	0.37	0.37	0.38	0.4	0.39	0.4	0.41	0.42	0.41	0.41	0.42	0.44	0.43	0.42	0.44	0.45	0.45	0.45	0.46	0.49	0.48	0.5	0.5	0.51	0.51	0.51	0.52	0.52	0.51	0.51	0.5	0.5	0.5	0.49	0.47	0.45	0.42	0.43	0.43	0.44	0.45	0.47	0.49	0.5	0.5	0.5	0.53	0.55	0.56	0.57	0.58	0.58	0.58	0.58	0.63	0.67	0.69	0.7	0.71	0.71	0.73	0.75	0.74	0.74	0.73	0.71	0.68	0.66	0.64	0.63	0.62	0.62	0.62	0.63	0.64	0.64	0.64	0.62	0.59	0.53	0.52	50.62
"013S0030"	0.44	0.47	0.48	0.47	0.52	0.55	0.57	0.58	0.6	0.62	0.63	0.63	0.64	0.64	0.64	0.64	0.64	0.62	0.61	0.6	0.59	0.57	0.54	0.49	0.47	0.48	0.48	0.47	0.48	0.49	0.47	0.46	0.48	0.48	0.47	0.48	0.48	0.46	0.44	0.44	0.45	0.44	0.44	0.44	0.44	0.43	0.43	0.43	0.42	0.42	0.42	0.42	0.42	0.42	0.44	0.44	0.44	0.46	0.48	0.45	0.45	0.46	0.48	0.48	0.47	0.46	0.48	0.5	0.49	0.48	0.5	0.51	0.49	0.5	0.51	0.52	0.52	0.52	0.52	0.54	0.55	0.55	0.55	0.55	0.56	0.56	0.56	0.56	0.54	0.51	0.49	0.46	0.44	0.45	0.46	0.49	0.5	0.51	0.52	0.53	0.52	0.55	0.57	0.59	0.6	0.61	0.63	0.62	0.62	0.63	0.64	0.66	0.68	0.7	0.71	0.71	0.7	0.7	0.7	0.71	0.72	0.73	0.73	0.73	0.73	0.73	0.73	0.71	0.72	0.73	0.73	0.71	0.69	0.66	0.61	0.54	0.42	56.37
